﻿Emendas Parlamentares 2020;;;;;;;;;;
Autor;Emenda;Órgão;Aprovado;Alteração;Movimentação;Bloqueado;Autorizado;Empenhado;Liquidado;Pago
MARTINS MACHADO;13.392.6219.9075.0126 - APOIO A PROJETOS CULTURAIS NO DISTRITO FEDERAL;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;1.000.000,00;493.535,00;0;-100.000,00;1.393.535,00;1.393.534,29;1.393.534,29;1.393.534,29
ROOSEVELT VILELA;15.451.6206.1079.0013 - CONSTRUÇÃO DE ESPAÇO POLIESPORTIVO NO COLÉGIO DOM PEDRO II;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;1.922.000,00;-543.862,00;0;0;1.378.138,00;1.378.137,61;1.378.137,61;1.378.137,61
RODRIGO DELMASSO;27.811.6206.9080.0071 - APOIO AO FOMENTO ESPORTIVO NO DISTRITO FEDERAL - 2021;SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF;0;1.500.000,00;0;0;1.500.000,00;1.339.865,58;1.339.865,58;1.339.865,58
JÚLIA LUCY;10.122.6202.4166.0007 - PLANEJAMENTO E GESTÃO DA ATENÇÃO ESPECIALIZADA - PROGRAMA DE DESCENTRALIZAÇÃO PROGRESSIVA - PDPAS;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;1.321.636,00;0;1.321.636,00;1.321.636,00;1.321.636,00;1.321.636,00
JORGE VIANNA;12.122.6221.9068.0187 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA ESCOLAS PÚBLICAS NO DF - PDAF - 2020;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;3.000.000,00;-1.700.000,00;0;0;1.300.000,00;1.300.000,00;1.300.000,00;1.300.000,00
HERMETO;04.122.8205.2396.0051 - CONSERVAÇÃO DAS ESTRUTURAS FÍSICAS DE EDIFICAÇÕES PÚBLICAS-ADMINISTRAÇÃO REGIONAL- NÚCLEO BANDEIRANTE;ADMINISTRAÇÃO REGIONAL DO  NÚCLEO BANDEIRANTE;1.500.000,00;200.000,00;0;0;1.700.000,00;1.298.572,64;1.298.572,64;1.298.572,64
FÁBIO FÉLIX;12.122.6221.9068.0197 - TRANSFERÊNCIA DIRETA DE RECURSOS PARA A MELHORIA DAS ESCOLAS PÚBLICAS DO DF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;3.000.000,00;-1.707.600,00;0;0;1.292.400,00;1.240.600,00;1.240.600,00;1.240.600,00
VALDELINO BARCELOS;15.451.6209.1110.0321 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-20320 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO EM TODO O DISTRITO FEDERAL -DISTRITO FEDERAL;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;0;1.200.000,00;0;0;1.200.000,00;1.199.894,02;1.199.894,02;1.199.894,02
MARTINS MACHADO;27.812.6206.9080.0049 - APOIO A PROJETOS ESPORTIVOS;SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF;1.500.000,00;-8.000,00;0;0;1.492.000,00;1.180.341,81;1.180.341,81;1.180.341,81
FÁBIO FÉLIX;12.122.6221.9068.0197 - TRANSFERÊNCIA DIRETA DE RECURSOS PARA A MELHORIA DAS ESCOLAS PÚBLICAS DO DF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;1.500.000,00;-390.800,00;0;0;1.109.200,00;1.109.200,00;1.109.200,00;1.109.200,00
RODRIGO DELMASSO;14.243.6206.9080.0075 - TRANSFERÊNCIA DE RECURSOS PARA PROJETOS ESPORTIVOS-IMPLANTAÇÃO DO PROJETO VIVAVOLEI INCLASÃO NACIONAL-OCA-DISTRITO FEDERAL;CASA CIVIL DO DISTRITO FEDERAL;0;0;1.100.000,00;0;1.100.000,00;1.099.992,66;1.099.992,66;549.996,33
IOLANDO ALMEIDA;14.422.6211.2782.0012 - DESENVOLVIMENTO, INCLUSÃO E PROMOÇÃO SOCIAL-PROGRAMA DE INCLUSÃO PRODUTIVA E SOCIAL - PESSOA COM DEFICIENCIA - PLANO PILOTO .;CASA CIVIL DO DISTRITO FEDERAL;0;1.100.000,00;0;-3;1.099.997,00;1.098.413,00;1.098.413,00;525.305,82
